model_a,model_b,union_oracle_recall_at100,union_full_gold_coverage_rate_at100,queries_a_rescues_b,queries_b_rescues_a,gold_occurrences_a_not_b,gold_occurrences_b_not_a,mean_top100_jaccard
aiteamvn_v1,vnlegal_lal,0.988606780145902,0.984551566299528,79,75,84,78,0.36108887561885844
aiteamvn_v1,vietlegal_harrier,0.9878677347065274,0.9838363610356172,151,71,163,73,0.3351207711512109
aiteamvn_v2,vnlegal_lal,0.987665093215086,0.983550278930053,73,103,77,109,0.35457265358553913
aiteamvn_v1,vietlegal_e5,0.9869975683021027,0.9829781147189244,163,63,179,64,0.3387425191177403
aiteamvn_v2,vietlegal_harrier,0.9867234062842702,0.9834072378772708,144,100,156,104,0.3206067817737487
aiteamvn_v1,vietnamese_legal_embedding,0.9859366804939684,0.9814046631383206,166,53,175,55,0.3117221812110971
aiteamvn_v2,vietlegal_e5,0.9854241167214991,0.9818337862966672,150,87,166,89,0.3234521288978988
vietnamese_legal_embedding,vnlegal_lal,0.985054594001812,0.9802603347160636,49,155,51,165,0.3562346193358583
aiteamvn_v2,vietnamese_legal_embedding,0.9847565918085157,0.9809755399799742,155,81,166,84,0.2991298838159525
vietlegal_e5,vnlegal_lal,0.9847565918085156,0.9799742526104992,43,144,44,153,0.4233119223492924
aiteamvn_v1,aiteamvn_v2,0.9840366185095122,0.979688170504935,77,39,78,40,0.5352879141938119
vietlegal_harrier,vnlegal_lal,0.9825632956658562,0.9772564726076384,25,106,25,109,0.6192541941953471
vietlegal_harrier,vietnamese_legal_embedding,0.9810494445239116,0.9758260620798169,124,92,128,98,0.3795004629090918
vietlegal_e5,vietnamese_legal_embedding,0.9796190339960902,0.9742526104992133,110,98,111,106,0.3745843112968341
vietlegal_e5,vietlegal_harrier,0.9763600820102036,0.9712487483907881,56,78,56,81,0.4874710510187547
