sources,per_source_depth,macro_oracle_recall,full_gold_coverage_rate,mean_unique_pool_size,max_nominal_pool_size,gold_occurrence_coverage,hit_gold_occurrences,total_gold_occurrences
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier', 'bm25']",100,0.9931697897296524,0.9898440852524675,234.3757688456587,400,0.9893784421715185,7545,7626
"['aiteamvn_v1', 'vnlegal_lal', 'bm25']",100,0.9925976255185238,0.9889858389357745,217.51709340580746,300,0.9885916601101495,7539,7626
"['aiteamvn_v1', 'vietlegal_harrier', 'bm25']",100,0.9923353835884232,0.9888427978829925,220.05564296953224,300,0.9884605297665879,7538,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier']",100,0.9898226290945501,0.9861250178801316,166.65727363753396,300,0.9851822711775505,7513,7626
"['vnlegal_lal', 'vietlegal_harrier', 'bm25']",100,0.9896295236732943,0.9849806894578744,196.67400944070948,300,0.984002098085497,7504,7626
"['aiteamvn_v1', 'bm25']",100,0.9886520764792829,0.9841224431411815,176.18137605492777,200,0.9836087070548125,7501,7626
"['aiteamvn_v1', 'vnlegal_lal']",100,0.9886067801459019,0.984551566299528,147.75826062079818,200,0.983739837398374,7502,7626
"['vnlegal_lal', 'bm25']",100,0.9882944738473275,0.9829781147189244,175.73523101130024,200,0.9820351429320745,7489,7626
"['aiteamvn_v1', 'vietlegal_harrier']",100,0.9878677347065274,0.9838363610356172,150.5970533543127,200,0.9830841856805664,7497,7626
"['vietlegal_harrier', 'bm25']",100,0.9850998903351929,0.9801172936632814,175.97568302102704,200,0.978494623655914,7462,7626
"['vnlegal_lal', 'vietlegal_harrier']",100,0.9825632956658561,0.9772564726076384,124.04276927478186,200,0.9760031471282454,7443,7626
['vnlegal_lal'],100,0.97994087636485,0.9738234873408669,100.0,100,0.972724888539208,7418,7626
['aiteamvn_v1'],100,0.9796619463119248,0.9745386926047775,100.0,100,0.973511670600577,7424,7626
['vietlegal_harrier'],100,0.9697801935822248,0.9635245315405522,100.0,100,0.9617099396800419,7334,7626
['bm25'],100,0.8469341534353693,0.8327850092976684,100.0,100,0.8334644636768949,6356,7626
