sources,per_source_depth,macro_oracle_recall,full_gold_coverage_rate,mean_unique_pool_size,max_nominal_pool_size,gold_occurrence_coverage,hit_gold_occurrences,total_gold_occurrences
['aiteamvn_v1'],10,0.9196872168979163,0.906594192533257,10.0,10,0.9047993705743509,6900,7626
['aiteamvn_v1'],20,0.9456491679778763,0.9353454441424689,20.0,20,0.9340414371885655,7123,7626
['aiteamvn_v1'],50,0.9692867019501263,0.9625232441710772,50.0,50,0.9607920272751115,7327,7626
['aiteamvn_v1'],100,0.9796619463119248,0.9745386926047775,100.0,100,0.973511670600577,7424,7626
"['aiteamvn_v1', 'vnlegal_lal']",10,0.9424188242025461,0.9314833357173509,14.368044628808468,20,0.9295830055074744,7089,7626
"['aiteamvn_v1', 'vnlegal_lal']",20,0.9655676345777905,0.9572307252181376,29.218566728651123,40,0.955677943876213,7288,7626
"['aiteamvn_v1', 'vnlegal_lal']",50,0.9831116197015211,0.9775425547132027,73.82234301244458,100,0.9765276685024915,7447,7626
"['aiteamvn_v1', 'vnlegal_lal']",100,0.9886067801459019,0.984551566299528,147.75826062079818,200,0.983739837398374,7502,7626
"['aiteamvn_v1', 'vietlegal_harrier']",10,0.9423234635006914,0.9317694178229152,14.680875411243028,20,0.9295830055074744,7089,7626
"['aiteamvn_v1', 'vietlegal_harrier']",20,0.9626043007676537,0.9545129452152767,29.818623945072236,40,0.9529242066614214,7267,7626
"['aiteamvn_v1', 'vietlegal_harrier']",50,0.9800481571544366,0.9746817336575597,75.30839650979831,100,0.9733805402570155,7423,7626
"['aiteamvn_v1', 'vietlegal_harrier']",100,0.9878677347065274,0.9838363610356172,150.5970533543127,200,0.9830841856805664,7497,7626
"['aiteamvn_v1', 'bm25']",10,0.9507080532112716,0.9390645115148047,17.76498355027893,20,0.9365329137162339,7142,7626
"['aiteamvn_v1', 'bm25']",20,0.9694035188098984,0.9600915462737806,35.55857531111429,40,0.9581694204038814,7307,7626
"['aiteamvn_v1', 'bm25']",50,0.983266580842035,0.9771134315548562,88.66957516807324,100,0.9757408864411224,7441,7626
"['aiteamvn_v1', 'bm25']",100,0.9886520764792829,0.9841224431411815,176.18137605492777,200,0.9836087070548125,7501,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier']",10,0.9479497449101225,0.9377771420397654,16.384494349878416,30,0.9354838709677419,7134,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier']",20,0.9681233013874982,0.9606637104849092,33.247174939207554,60,0.9589562024652505,7313,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier']",50,0.9839460258427501,0.978829924188242,83.69889858389358,150,0.9777078415945449,7456,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier']",100,0.9898226290945501,0.9861250178801316,166.65727363753396,300,0.9851822711775505,7513,7626
"['aiteamvn_v1', 'vnlegal_lal', 'bm25']",10,0.9616149334859104,0.9516521241596338,21.674724645973395,30,0.9495148177288224,7241,7626
"['aiteamvn_v1', 'vnlegal_lal', 'bm25']",20,0.9781886234682687,0.9705335431268775,43.72021170075812,60,0.9690532389194859,7390,7626
"['aiteamvn_v1', 'vnlegal_lal', 'bm25']",50,0.9890764316025366,0.9839794020883994,109.54398512373051,150,0.983477576711251,7500,7626
"['aiteamvn_v1', 'vnlegal_lal', 'bm25']",100,0.9925976255185238,0.9889858389357745,217.51709340580746,300,0.9885916601101495,7539,7626
"['aiteamvn_v1', 'vietlegal_harrier', 'bm25']",10,0.9607805273446812,0.9510799599485052,21.942497496781577,30,0.9488591660110149,7236,7626
"['aiteamvn_v1', 'vietlegal_harrier', 'bm25']",20,0.9764125303962237,0.9689600915462738,44.28579602345873,60,0.9673485444531865,7377,7626
"['aiteamvn_v1', 'vietlegal_harrier', 'bm25']",50,0.9880155437944024,0.9832641968244886,110.91689314833357,150,0.9822974036191975,7491,7626
"['aiteamvn_v1', 'vietlegal_harrier', 'bm25']",100,0.9923353835884232,0.9888427978829925,220.05564296953224,300,0.9884605297665879,7538,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier', 'bm25']",10,0.964356553664235,0.9549420683736233,23.511800886854527,40,0.9526619459742984,7265,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier', 'bm25']",20,0.9795713536451628,0.9726791589186097,47.394221141467604,80,0.9710201940729085,7405,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier', 'bm25']",50,0.9896247556382015,0.9849806894578744,118.46788728365041,200,0.9843954891161815,7507,7626
"['aiteamvn_v1', 'vnlegal_lal', 'vietlegal_harrier', 'bm25']",100,0.9931697897296524,0.9898440852524675,234.3757688456587,400,0.9893784421715185,7545,7626
